"_id","timestamp","eventName","transactionId","userId","trackingIds","server.ip","server.port","client.ip","client.port","request.protocol","request.operation","request.detail","http.request.secure","http.request.method","http.request.path","http.request.queryParameters","http.request.headers","http.request.cookies","http.response.headers","response.status","response.statusCode","response.detail","response.elapsedTime","response.elapsedTimeUnits","component","realm"
"43af64c2-6da0-4771-8b2a-215b1c410143-47","2019-12-09T07:02:13.172Z","AM-ACCESS-OUTCOME","43af64c2-6da0-4771-8b2a-215b1c410143-45",,"[""""]","172.17.0.2","8443","172.17.0.1","36812","CREST","READ",,"true","GET","https://localhost:8443/openam/json/serverinfo/*","{}","{""accept"":[""application/json, text/javascript, */*; q=0.01""],""accept-api-version"":[""protocol=1.0,resource=1.1""],""host"":[""localhost:8443""],""referer"":[""https://localhost:8443/openam/XUI/""],""sec-fetch-mode"":[""cors""],""sec-fetch-site"":[""same-origin""],""user-agent"":[""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36""],""x-requested-with"":[""XMLHttpRequest""]}","{""JSESSIONID"":""04953E217B5F8C3AF7D38F71E2EA00D2"",""connect.sid"":""s%3AO4bBdsnCLjK4K0FQDSwSkSQq2GOn8u0C.nnO02X0FEiYE3ychaagCnI8ExyanZ5Yl2H%2BEMrb8Se8"",""i18next"":""ja-JP"",""amlbcookie"":""01""}",,"SUCCESSFUL",,,"204","MILLISECONDS","Server Info","/"
"43af64c2-6da0-4771-8b2a-215b1c410143-54","2019-12-09T07:02:14.167Z","AM-ACCESS-OUTCOME","43af64c2-6da0-4771-8b2a-215b1c410143-52",,"[""3984878e762bde9f01""]",,,"172.17.0.1","36980",,,,"true","POST","https://localhost:8443/openam/json/authenticate","{}","{""accept"":[""application/json, text/javascript, */*; q=0.01""],""accept-api-version"":[""protocol=1.0,resource=2.0""],""host"":[""localhost:8443""],""origin"":[""https://localhost:8443""],""referer"":[""https://localhost:8443/openam/XUI/""],""sec-fetch-mode"":[""cors""],""sec-fetch-site"":[""same-origin""],""user-agent"":[""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36""],""x-nosession"":[""true""],""x-password"":[""anonymous""],""x-requested-with"":[""XMLHttpRequest""],""x-username"":[""anonymous""]}","{""JSESSIONID"":""04953E217B5F8C3AF7D38F71E2EA00D2"",""connect.sid"":""s%3AO4bBdsnCLjK4K0FQDSwSkSQq2GOn8u0C.nnO02X0FEiYE3ychaagCnI8ExyanZ5Yl2H%2BEMrb8Se8"",""i18next"":""ja-JP"",""amlbcookie"":""01""}",,"SUCCESSFUL",,,"216","MILLISECONDS","Authentication","/"
"43af64c2-6da0-4771-8b2a-215b1c410143-65","2019-12-09T07:02:22.989Z","AM-ACCESS-OUTCOME","43af64c2-6da0-4771-8b2a-215b1c410143-57","id=amadmin,ou=user,dc=openam,dc=forgerock,dc=org","[""3984878e762bde9f01""]",,,"172.17.0.1","36980",,,,"true","POST","https://localhost:8443/openam/json/authenticate","{}","{""accept"":[""application/json, text/javascript, */*; q=0.01""],""accept-api-version"":[""protocol=1.0,resource=2.0""],""host"":[""localhost:8443""],""origin"":[""https://localhost:8443""],""referer"":[""https://localhost:8443/openam/XUI/""],""sec-fetch-mode"":[""cors""],""sec-fetch-site"":[""same-origin""],""user-agent"":[""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36""],""x-nosession"":[""true""],""x-password"":[""anonymous""],""x-requested-with"":[""XMLHttpRequest""],""x-username"":[""anonymous""]}","{""JSESSIONID"":""04953E217B5F8C3AF7D38F71E2EA00D2"",""connect.sid"":""s%3AO4bBdsnCLjK4K0FQDSwSkSQq2GOn8u0C.nnO02X0FEiYE3ychaagCnI8ExyanZ5Yl2H%2BEMrb8Se8"",""i18next"":""ja-JP"",""amlbcookie"":""01""}",,"SUCCESSFUL",,,"248","MILLISECONDS","Authentication","/"
"43af64c2-6da0-4771-8b2a-215b1c410143-70","2019-12-09T07:02:23.051Z","AM-ACCESS-OUTCOME","43af64c2-6da0-4771-8b2a-215b1c410143-68","id=amadmin,ou=user,dc=openam,dc=forgerock,dc=org","[""3984878e762bde9f01""]","172.17.0.2","8443","172.17.0.1","36980","CREST","ACTION","{""action"":""idFromSession""}","true","POST","https://localhost:8443/openam/json/users","{""_action"":[""idFromSession""]}","{""accept"":[""application/json, text/javascript, */*; q=0.01""],""accept-api-version"":[""protocol=1.0,resource=2.0""],""host"":[""localhost:8443""],""origin"":[""https://localhost:8443""],""referer"":[""https://localhost:8443/openam/XUI/""],""sec-fetch-mode"":[""cors""],""sec-fetch-site"":[""same-origin""],""user-agent"":[""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36""],""x-nosession"":[""true""],""x-password"":[""anonymous""],""x-requested-with"":[""XMLHttpRequest""],""x-username"":[""anonymous""]}","{""JSESSIONID"":""04953E217B5F8C3AF7D38F71E2EA00D2"",""connect.sid"":""s%3AO4bBdsnCLjK4K0FQDSwSkSQq2GOn8u0C.nnO02X0FEiYE3ychaagCnI8ExyanZ5Yl2H%2BEMrb8Se8"",""i18next"":""ja-JP"",""amlbcookie"":""01""}",,"SUCCESSFUL",,,"30","MILLISECONDS","Users","/"
"43af64c2-6da0-4771-8b2a-215b1c410143-75","2019-12-09T07:02:23.144Z","AM-ACCESS-OUTCOME","43af64c2-6da0-4771-8b2a-215b1c410143-73","id=amadmin,ou=user,dc=openam,dc=forgerock,dc=org","[""3984878e762bde9f01""]","172.17.0.2","8443","172.17.0.1","36980","CREST","READ",,"true","GET","https://localhost:8443/openam/json/users/amadmin","{}","{""accept"":[""application/json, text/javascript, */*; q=0.01""],""accept-api-version"":[""protocol=1.0,resource=2.0""],""host"":[""localhost:8443""],""referer"":[""https://localhost:8443/openam/XUI/""],""sec-fetch-mode"":[""cors""],""sec-fetch-site"":[""same-origin""],""user-agent"":[""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36""],""x-nosession"":[""true""],""x-password"":[""anonymous""],""x-requested-with"":[""XMLHttpRequest""],""x-username"":[""anonymous""]}","{""JSESSIONID"":""04953E217B5F8C3AF7D38F71E2EA00D2"",""connect.sid"":""s%3AO4bBdsnCLjK4K0FQDSwSkSQq2GOn8u0C.nnO02X0FEiYE3ychaagCnI8ExyanZ5Yl2H%2BEMrb8Se8"",""i18next"":""ja-JP"",""amlbcookie"":""01""}",,"SUCCESSFUL",,,"60","MILLISECONDS","Users","/"
"43af64c2-6da0-4771-8b2a-215b1c410143-84","2019-12-09T07:02:23.936Z","AM-ACCESS-OUTCOME","43af64c2-6da0-4771-8b2a-215b1c410143-82","id=amadmin,ou=user,dc=openam,dc=forgerock,dc=org","[""3984878e762bde9f01""]","172.17.0.2","8443","172.17.0.1","36984","CREST","READ",,"true","GET","https://localhost:8443/openam/json/serverinfo/version","{}","{""accept"":[""application/json, text/javascript, */*; q=0.01""],""accept-api-version"":[""protocol=1.0,resource=1.0""],""host"":[""localhost:8443""],""referer"":[""https://localhost:8443/openam/XUI/""],""sec-fetch-mode"":[""cors""],""sec-fetch-site"":[""same-origin""],""user-agent"":[""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36""],""x-requested-with"":[""XMLHttpRequest""]}","{""JSESSIONID"":""04953E217B5F8C3AF7D38F71E2EA00D2"",""connect.sid"":""s%3AO4bBdsnCLjK4K0FQDSwSkSQq2GOn8u0C.nnO02X0FEiYE3ychaagCnI8ExyanZ5Yl2H%2BEMrb8Se8"",""i18next"":""ja-JP"",""amlbcookie"":""01""}",,"SUCCESSFUL",,,"67","MILLISECONDS","Server Info","/"
"43af64c2-6da0-4771-8b2a-215b1c410143-87","2019-12-09T07:02:24.014Z","AM-ACCESS-OUTCOME","43af64c2-6da0-4771-8b2a-215b1c410143-85","id=amadmin,ou=user,dc=openam,dc=forgerock,dc=org","[""3984878e762bde9f01""]","172.17.0.2","8443","172.17.0.1","36978","CREST","QUERY",,"true","GET","https://localhost:8443/openam/json/global-config/realms","{""_queryFilter"":[""true""]}","{""accept"":[""application/json, text/javascript, */*; q=0.01""],""accept-api-version"":[""protocol=1.0,resource=1.0""],""host"":[""localhost:8443""],""referer"":[""https://localhost:8443/openam/XUI/""],""sec-fetch-mode"":[""cors""],""sec-fetch-site"":[""same-origin""],""user-agent"":[""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36""],""x-requested-with"":[""XMLHttpRequest""]}","{""JSESSIONID"":""04953E217B5F8C3AF7D38F71E2EA00D2"",""connect.sid"":""s%3AO4bBdsnCLjK4K0FQDSwSkSQq2GOn8u0C.nnO02X0FEiYE3ychaagCnI8ExyanZ5Yl2H%2BEMrb8Se8"",""i18next"":""ja-JP"",""amlbcookie"":""01""}",,"SUCCESSFUL",,,"174","MILLISECONDS","Config",
"43af64c2-6da0-4771-8b2a-215b1c410143-90","2019-12-09T07:02:24.022Z","AM-ACCESS-OUTCOME","43af64c2-6da0-4771-8b2a-215b1c410143-88","id=amadmin,ou=user,dc=openam,dc=forgerock,dc=org","[""3984878e762bde9f01""]","172.17.0.2","8443","172.17.0.1","36808","CREST","QUERY",,"true","GET","https://localhost:8443/openam/json/global-config/realms","{""_queryFilter"":[""true""]}","{""accept"":[""application/json, text/javascript, */*; q=0.01""],""accept-api-version"":[""protocol=1.0,resource=1.0""],""host"":[""localhost:8443""],""referer"":[""https://localhost:8443/openam/XUI/""],""sec-fetch-mode"":[""cors""],""sec-fetch-site"":[""same-origin""],""user-agent"":[""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36""],""x-requested-with"":[""XMLHttpRequest""]}","{""JSESSIONID"":""04953E217B5F8C3AF7D38F71E2EA00D2"",""connect.sid"":""s%3AO4bBdsnCLjK4K0FQDSwSkSQq2GOn8u0C.nnO02X0FEiYE3ychaagCnI8ExyanZ5Yl2H%2BEMrb8Se8"",""i18next"":""ja-JP"",""amlbcookie"":""01""}",,"SUCCESSFUL",,,"475","MILLISECONDS","Config",
"43af64c2-6da0-4771-8b2a-215b1c410143-95","2019-12-09T07:02:24.104Z","AM-ACCESS-OUTCOME","43af64c2-6da0-4771-8b2a-215b1c410143-93","id=amadmin,ou=user,dc=openam,dc=forgerock,dc=org","[""3984878e762bde9f01""]","172.17.0.2","8443","172.17.0.1","36808","CREST","READ",,"true","GET","https://localhost:8443/openam/json/serverinfo/version","{}","{""accept"":[""application/json, text/javascript, */*; q=0.01""],""accept-api-version"":[""protocol=1.0,resource=1.0""],""host"":[""localhost:8443""],""referer"":[""https://localhost:8443/openam/XUI/""],""sec-fetch-mode"":[""cors""],""sec-fetch-site"":[""same-origin""],""user-agent"":[""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36""],""x-requested-with"":[""XMLHttpRequest""]}","{""JSESSIONID"":""04953E217B5F8C3AF7D38F71E2EA00D2"",""connect.sid"":""s%3AO4bBdsnCLjK4K0FQDSwSkSQq2GOn8u0C.nnO02X0FEiYE3ychaagCnI8ExyanZ5Yl2H%2BEMrb8Se8"",""i18next"":""ja-JP"",""amlbcookie"":""01""}",,"SUCCESSFUL",,,"14","MILLISECONDS","Server Info","/"
"43af64c2-6da0-4771-8b2a-215b1c410143-102","2019-12-09T07:02:28.273Z","AM-ACCESS-OUTCOME","43af64c2-6da0-4771-8b2a-215b1c410143-100","id=amadmin,ou=user,dc=openam,dc=forgerock,dc=org","[""3984878e762bde9f01""]","172.17.0.2","8443","172.17.0.1","36978","CREST","READ",,"true","GET","https://localhost:8443/openam/json/global-config/realms/","{}","{""accept"":[""application/json, text/javascript, */*; q=0.01""],""accept-api-version"":[""protocol=1.0,resource=1.0""],""host"":[""localhost:8443""],""referer"":[""https://localhost:8443/openam/XUI/""],""sec-fetch-mode"":[""cors""],""sec-fetch-site"":[""same-origin""],""user-agent"":[""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36""],""x-requested-with"":[""XMLHttpRequest""]}","{""JSESSIONID"":""04953E217B5F8C3AF7D38F71E2EA00D2"",""connect.sid"":""s%3AO4bBdsnCLjK4K0FQDSwSkSQq2GOn8u0C.nnO02X0FEiYE3ychaagCnI8ExyanZ5Yl2H%2BEMrb8Se8"",""i18next"":""ja-JP"",""amlbcookie"":""01""}",,"SUCCESSFUL",,,"26","MILLISECONDS","Config",
"43af64c2-6da0-4771-8b2a-215b1c410143-105","2019-12-09T07:02:28.336Z","AM-ACCESS-OUTCOME","43af64c2-6da0-4771-8b2a-215b1c410143-103","id=amadmin,ou=user,dc=openam,dc=forgerock,dc=org","[""3984878e762bde9f01""]","172.17.0.2","8443","172.17.0.1","36980","CREST","ACTION","{""action"":""schema""}","true","POST","https://localhost:8443/openam/json/global-config/realms/","{""_action"":[""schema""]}","{""accept"":[""application/json, text/javascript, */*; q=0.01""],""accept-api-version"":[""protocol=1.0,resource=1.0""],""host"":[""localhost:8443""],""origin"":[""https://localhost:8443""],""referer"":[""https://localhost:8443/openam/XUI/""],""sec-fetch-mode"":[""cors""],""sec-fetch-site"":[""same-origin""],""user-agent"":[""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36""],""x-requested-with"":[""XMLHttpRequest""]}","{""JSESSIONID"":""04953E217B5F8C3AF7D38F71E2EA00D2"",""connect.sid"":""s%3AO4bBdsnCLjK4K0FQDSwSkSQq2GOn8u0C.nnO02X0FEiYE3ychaagCnI8ExyanZ5Yl2H%2BEMrb8Se8"",""i18next"":""ja-JP"",""amlbcookie"":""01""}",,"SUCCESSFUL",,,"89","MILLISECONDS","Config",
"43af64c2-6da0-4771-8b2a-215b1c410143-114","2019-12-09T07:02:28.485Z","AM-ACCESS-OUTCOME","43af64c2-6da0-4771-8b2a-215b1c410143-112","id=amadmin,ou=user,dc=openam,dc=forgerock,dc=org","[""3984878e762bde9f01""]","172.17.0.2","8443","172.17.0.1","36984","CREST","QUERY",,"true","GET","https://localhost:8443/openam/json/realm-config/commontasks","{""_queryFilter"":[""true""]}","{""accept"":[""application/json, text/javascript, */*; q=0.01""],""accept-api-version"":[""protocol=1.0,resource=1.0""],""host"":[""localhost:8443""],""referer"":[""https://localhost:8443/openam/XUI/""],""sec-fetch-mode"":[""cors""],""sec-fetch-site"":[""same-origin""],""user-agent"":[""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36""],""x-requested-with"":[""XMLHttpRequest""]}","{""JSESSIONID"":""04953E217B5F8C3AF7D38F71E2EA00D2"",""connect.sid"":""s%3AO4bBdsnCLjK4K0FQDSwSkSQq2GOn8u0C.nnO02X0FEiYE3ychaagCnI8ExyanZ5Yl2H%2BEMrb8Se8"",""i18next"":""ja-JP"",""amlbcookie"":""01""}",,"SUCCESSFUL",,,"24","MILLISECONDS","Config","/"
"43af64c2-6da0-4771-8b2a-215b1c410143-117","2019-12-09T07:02:28.494Z","AM-ACCESS-OUTCOME","43af64c2-6da0-4771-8b2a-215b1c410143-115","id=amadmin,ou=user,dc=openam,dc=forgerock,dc=org","[""3984878e762bde9f01""]","172.17.0.2","8443","172.17.0.1","36980","CREST","ACTION","{""action"":""schema""}","true","POST","https://localhost:8443/openam/json/global-config/realms/","{""_action"":[""schema""]}","{""accept"":[""application/json, text/javascript, */*; q=0.01""],""accept-api-version"":[""protocol=1.0,resource=1.0""],""host"":[""localhost:8443""],""origin"":[""https://localhost:8443""],""referer"":[""https://localhost:8443/openam/XUI/""],""sec-fetch-mode"":[""cors""],""sec-fetch-site"":[""same-origin""],""user-agent"":[""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36""],""x-requested-with"":[""XMLHttpRequest""]}","{""JSESSIONID"":""04953E217B5F8C3AF7D38F71E2EA00D2"",""connect.sid"":""s%3AO4bBdsnCLjK4K0FQDSwSkSQq2GOn8u0C.nnO02X0FEiYE3ychaagCnI8ExyanZ5Yl2H%2BEMrb8Se8"",""i18next"":""ja-JP"",""amlbcookie"":""01""}",,"SUCCESSFUL",,,"24","MILLISECONDS","Config",
"43af64c2-6da0-4771-8b2a-215b1c410143-120","2019-12-09T07:02:28.499Z","AM-ACCESS-OUTCOME","43af64c2-6da0-4771-8b2a-215b1c410143-118","id=amadmin,ou=user,dc=openam,dc=forgerock,dc=org","[""3984878e762bde9f01""]","172.17.0.2","8443","172.17.0.1","36978","CREST","READ",,"true","GET","https://localhost:8443/openam/json/global-config/realms/","{}","{""accept"":[""application/json, text/javascript, */*; q=0.01""],""accept-api-version"":[""protocol=1.0,resource=1.0""],""host"":[""localhost:8443""],""referer"":[""https://localhost:8443/openam/XUI/""],""sec-fetch-mode"":[""cors""],""sec-fetch-site"":[""same-origin""],""user-agent"":[""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36""],""x-requested-with"":[""XMLHttpRequest""]}","{""JSESSIONID"":""04953E217B5F8C3AF7D38F71E2EA00D2"",""connect.sid"":""s%3AO4bBdsnCLjK4K0FQDSwSkSQq2GOn8u0C.nnO02X0FEiYE3ychaagCnI8ExyanZ5Yl2H%2BEMrb8Se8"",""i18next"":""ja-JP"",""amlbcookie"":""01""}",,"SUCCESSFUL",,,"41","MILLISECONDS","Config",
